date,close
2025-11-04,1.8674
2025-11-03,1.8674
2025-11-02,1.867
2025-11-01,1.867
2025-10-31,1.867
2025-10-30,1.8668
2025-10-29,1.8666
2025-10-28,1.8664
2025-10-27,1.8662
2025-10-26,1.8656
2025-10-25,1.8656
2025-10-24,1.8656
2025-10-23,1.8654
2025-10-22,1.8652
2025-10-21,1.8656
2025-10-20,1.8648
2025-10-19,1.8643
2025-10-18,1.8643
2025-10-17,1.8643
2025-10-16,1.8641
2025-10-15,1.8639
2025-10-14,1.8637
2025-10-13,1.8635
2025-10-12,1.8627
2025-10-11,1.8627
2025-10-10,1.8627
2025-10-09,1.8627
2025-10-08,1.8625
2025-10-07,1.8623
2025-10-06,1.8621
2025-10-05,1.8615
2025-10-04,1.8615
2025-10-03,1.8615
2025-10-02,1.8613
2025-10-01,1.8611
2025-09-30,1.8609
2025-09-29,1.8606
2025-09-28,1.86
2025-09-27,1.86
2025-09-26,1.86
2025-09-25,1.8598
2025-09-24,1.8596
2025-09-23,1.8594
2025-09-22,1.8592
2025-09-21,1.8586
2025-09-20,1.8586
2025-09-19,1.8586
2025-09-18,1.8584
2025-09-17,1.8582
2025-09-16,1.858
2025-09-15,1.8578
2025-09-14,1.8572
2025-09-13,1.8572
2025-09-12,1.8572
2025-09-11,1.857
2025-09-10,1.8568
2025-09-09,1.8566
2025-09-08,1.8564
2025-09-07,1.8558
2025-09-06,1.8558
2025-09-05,1.8558
2025-09-04,1.8556
2025-09-03,1.8554
2025-09-02,1.8552
2025-09-01,1.855
2025-08-31,1.8544
2025-08-30,1.8544
2025-08-29,1.8544
2025-08-28,1.8542
2025-08-27,1.854
2025-08-26,1.8538
2025-08-25,1.8539
2025-08-24,1.8529
2025-08-23,1.8529
2025-08-22,1.8529
2025-08-21,1.8527
2025-08-20,1.8525
2025-08-19,1.8523
2025-08-18,1.8521
2025-08-17,1.8514
2025-08-16,1.8514
2025-08-15,1.8514
2025-08-14,1.8514
2025-08-13,1.8513
2025-08-12,1.8512
2025-08-11,1.8512
2025-08-10,1.8511
2025-08-09,1.8511
2025-08-08,1.8511
2025-08-07,1.8509
2025-08-06,1.8507
2025-08-05,1.8506
2025-08-04,1.8504
2025-08-03,1.8498
2025-08-02,1.8498
2025-08-01,1.8498
2025-07-31,1.8495
2025-07-30,1.8493
2025-07-29,1.8491
2025-07-28,1.8477
2025-07-27,1.8471
2025-07-26,1.8471
2025-07-25,1.8471
2025-07-24,1.8469
2025-07-23,1.8467
2025-07-22,1.8464
2025-07-21,1.8462
2025-07-20,1.8458
2025-07-19,1.8458
2025-07-18,1.8458
2025-07-17,1.8456
2025-07-16,1.8454
2025-07-15,1.8452
2025-07-14,1.845
2025-07-13,1.8443
2025-07-12,1.8443
2025-07-11,1.8443
2025-07-10,1.8441
2025-07-09,1.8436
2025-07-08,1.8436
2025-07-07,1.8434
2025-07-06,1.8427
2025-07-05,1.8427
2025-07-04,1.8427
2025-07-03,1.8425
2025-07-02,1.8423
2025-07-01,1.842
2025-06-30,1.8416
2025-06-29,1.841
2025-06-28,1.841
2025-06-27,1.841
2025-06-26,1.8408
2025-06-25,1.8405
2025-06-24,1.8403
2025-06-23,1.8401
2025-06-22,1.8392
2025-06-21,1.8392
2025-06-20,1.8392
2025-06-19,1.8392
2025-06-18,1.839
2025-06-17,1.8388
2025-06-16,1.8379
2025-06-15,1.8379
2025-06-14,1.8379
2025-06-13,1.8379
2025-06-12,1.8377
2025-06-11,1.8375
2025-06-10,1.8373
2025-06-09,1.8364
2025-06-08,1.8364
2025-06-07,1.8364
2025-06-06,1.8364
2025-06-05,1.8361
2025-06-04,1.836
2025-06-03,1.8358
2025-06-02,1.8358
2025-06-01,1.8351
2025-05-31,1.8351
2025-05-30,1.8351
2025-05-29,1.8349
2025-05-28,1.8346
2025-05-27,1.8345
2025-05-26,1.8343
2025-05-25,1.8336
2025-05-24,1.8336
2025-05-23,1.8336
2025-05-22,1.8334
2025-05-21,1.8332
2025-05-20,1.833
2025-05-19,1.8327
2025-05-18,1.8321
2025-05-17,1.8321
2025-05-16,1.8321
2025-05-15,1.8319
2025-05-14,1.8318
2025-05-13,1.8318
2025-05-12,1.8316
2025-05-11,1.831
2025-05-10,1.831
2025-05-09,1.831
2025-05-08,1.8308
2025-05-07,1.8306
2025-05-06,1.8304
2025-05-05,1.8303
2025-05-04,1.8292
2025-05-03,1.8292
2025-05-02,1.8292
2025-05-01,1.8292
2025-04-30,1.8292
2025-04-29,1.8291
2025-04-28,1.8289
2025-04-27,1.8283
2025-04-26,1.8283
2025-04-25,1.8283
2025-04-24,1.8281
2025-04-23,1.8279
2025-04-22,1.8278
2025-04-21,1.8276
2025-04-20,1.8258
2025-04-19,1.8258
2025-04-18,1.8258
